事件名称,综合影响力,媒体参与家数,央媒得分,公众舆论指数,平均传播速度（条/小时）_对数变换,峰值传播速度（条/小时）_对数变换,事件持续时长(小时)_对数变换,渠道总数_对数变换,意见领袖总影响力(万)_对数变换,首发媒体权威度_1级,首发媒体权威度_2级,首发媒体权威度_3级,首发媒体权威度_4级,媒体权威度等级,是否为谣言
星纪魅族宣布终止芯片研发业务,58.7,20,0.53,0.008,1.791759469,4.077537444,5.187385806,3.80666249,7.779048645,0,1,0,0,2,0
58集团被曝大量倒卖毕业生简历,59.9,17,0.41,0.01,1.791759469,4.49980967,5.187385806,4.219507705,8.616495392,0,1,0,0,2,0
谦寻举办2023年AI创新发布会,41.1,13,0.41,0.003,0.693147181,3.135494216,5.988961417,2.995732274,7.118016204,0,1,0,0,2,0
红旗4S店疑似员工辱骂客户,52.7,3,0.0,0.003,0.693147181,2.48490665,5.262690189,2.397895273,8.19007705,0,0,0,1,4,0
宁波机场通报货机偏出跑道事件,64.2,51,1.13,0.023,1.791759469,5.866468057,5.313205979,5.062595033,8.80747189,0,1,0,0,2,0
杭州生育三孩一次性补助20000元,60.9,33,1.13,0.011,1.386294361,4.356708827,5.313205979,4.343805422,8.268475389,1,0,0,0,1,0
多地开展医药反腐行动,83.7,112,4.78,0.16,3.401197382,6.242223265,7.296413269,7.650168701,9.50061907,0,1,0,0,2,0
杭州新东方全面停课,70.3,42,0.89,0.095,3.931825633,7.382124366,5.313205979,5.424950017,9.234740259,0,1,0,0,2,0
钱塘江涨潮多人近距离观潮被卷入,62.8,4,0.0,0.022,1.609437912,5.056245805,5.262690189,2.708050201,8.219326094,0,0,0,1,4,0
苹果客服回应地震预警,61.3,18,0.24,0.014,1.791759469,5.159055299,5.351858133,4.290459441,9.086815886,1,0,0,0,1,0
优酷客服回应网友有偿共享TFBOYS直播,38.6,3,0.0,0.002,1.098612289,4.736198448,5.370638028,2.302585093,8.435332165,0,0,1,0,3,0
TFBOYS十年之约演唱会,82.8,52,1.72,0.2,6.232448017,8.756839815,5.424950017,6.352629396,10.58887974,0,0,0,1,4,0
高校花1.31亿科研经费零成果,62.3,17,0.53,0.014,1.945910149,5.204006687,5.424950017,4.17438727,9.04570155,0,1,0,0,2,0
蔚来拒绝向“小牛说车”出售车辆,41.3,12,0.36,0.006,0.693147181,3.784189634,5.480638923,3.091042453,8.266935348,0,0,1,0,3,0
茶颜悦色不支持点单取单两人同时排队,51.4,4,0.18,0.012,1.386294361,5.342334252,5.525452939,2.564949357,8.227108234,0,0,1,0,3,0
曝郑州大学领导以降薪要挟员工加班,53.3,6,0.12,0.004,1.609437912,4.663439094,5.075173815,3.258096538,9.033961125,0,0,1,0,3,0
2023lpl夏季赛,62.8,11,0.36,0.013,3.091042453,4.94875989,5.075173815,2.995732274,8.928110078,0,0,1,0,3,0
陕西榆林一游客踩踏丹霞地貌拍照,66.8,47,1.28,0.031,2.197224577,4.9698133,5.129898715,5.252273428,8.615951963,0,1,0,0,2,0
华为正式发布HarmonyOS 4操作系统,67.3,41,1.48,0.03,3.258096538,5.726847748,5.135798437,5.164785974,9.120962561,0,0,0,1,4,0
中国石油产出国内首桶“零碳原油”,30.1,8,0.47,0.002,0.693147181,3.401197382,5.187385806,2.197224577,4.369447852,0,1,0,0,2,0
小杨哥回应捐款2000万元为抵税,58.1,8,0.18,0.02,1.945910149,5.093750201,5.214935758,2.944438979,8.93616665,0,1,0,0,2,0
张亮麻辣烫就羊肉掺假事件道歉,62.0,32,0.83,0.013,1.945910149,4.17438727,5.214935758,4.584967479,8.222285074,0,1,0,0,2,0
2023华为开发者大会,72.1,61,2.13,0.054,3.828641396,6.269096284,5.214935758,6.001414878,9.42262518,0,0,1,0,3,0
重庆事业编考试多人作弊,65.9,52,1.13,0.039,2.302585093,5.451038454,5.33753808,5.356586275,9.072341874,0,1,0,0,2,0
华为15亿成立房地产公司,64.6,30,1.6,0.027,2.564949357,5.710427017,5.33753808,4.605170186,8.578852572,0,0,1,0,3,0
淘宝上线涿州图书专场,62.8,20,1.0,0.013,1.791759469,4.543294782,5.129898715,3.63758616,9.008468956,0,0,0,1,4,0
检察机关依法对李铁提起公诉,68.3,80,2.13,0.045,2.564949357,6.986566459,5.416100402,5.739792912,9.183585635,0,0,1,0,3,0
iPhone 14被用户吐槽电池老化,58.6,13,0.24,0.007,1.609437912,4.795790546,5.18178355,3.258096538,8.52098599,0,0,1,0,3,0
腾讯上线“北方地区暴雨救助信息上报平台”,36.6,8,0.18,0.001,0.693147181,2.833213344,5.446737372,2.944438979,5.225746674,1,0,0,0,1,0
小鹏汽车自动驾驶副总裁吴新宙将离职,60.7,24,0.47,0.008,1.791759469,4.465908119,5.446737372,3.931825633,8.089482474,0,0,1,0,3,0
贵州茅台发布半年报,53.2,7,0.59,0.004,1.098612289,3.80666249,5.446737372,2.564949357,7.570958583,0,0,1,0,3,0
北京市红十字会发布接收社会捐赠说明事件,62.8,20,0.41,0.008,2.079441542,3.891820298,5.446737372,4.317488114,9.130105979,0,1,0,0,2,0
戴森举办2023年戴森设计大奖中国大陆赛区决赛,28.0,5,0.24,0.001,0.693147181,3.135494216,5.129898715,1.945910149,2.48490665,0,0,1,0,3,0
中图网遭遇25年来毁灭性打击,68.3,28,0.65,0.03,2.995732274,5.703782475,5.497168225,4.96284463,9.526464118,0,1,0,0,2,0
义乌一蔚来汽车撞路柱起火驾驶员死亡,59.5,14,0.24,0.008,1.386294361,5.198497031,5.517452896,3.401197382,8.682877107,0,0,1,0,3,0
瑞幸发布2023年Q2财报,62.3,21,1.26,0.006,2.197224577,3.951243719,5.308267697,3.988984047,8.600798775,0,1,0,0,2,0
北京顶奢酒店“被暴雨冲走”,63.7,15,0.29,0.018,1.791759469,4.564348191,5.129898715,4.158883083,8.683554729,0,0,0,1,4,0
多地地铁不允许车厢内喝水,69.5,70,1.6,0.057,2.302585093,5.579729826,6.049733455,5.934894196,9.216123617,0,1,0,0,2,0
西双版纳“猛男餐厅”被查处,61.6,35,0.83,0.018,1.098612289,4.127134385,6.049733455,4.787491743,8.628913441,0,1,0,0,2,0
北大女生包丽案二审维持原判,57.5,10,0.36,0.017,0.693147181,4.927253685,6.049733455,3.555348061,8.233237501,0,0,1,0,3,0
发改委发布恢复和扩大消费二十条措施,74.1,114,5.63,0.086,3.496507561,6.302618976,5.634789603,6.597145702,8.849513965,0,1,0,0,2,0
ChinaJoy展会的大黄鱼抱枕被炒至666元,47.7,7,0.18,0.003,1.098612289,4.356708827,5.420534999,2.833213344,8.128880142,0,0,1,0,3,0
北京首次动用1998年建成的滞洪水库蓄洪,62.0,14,0.36,0.017,1.609437912,4.828313737,5.420534999,4.204692619,9.221577004,0,1,0,0,2,0
曝宝能集团老板被讨薪员工追着殴打,64.9,33,0.95,0.016,2.079441542,4.454347296,5.634789603,4.663439094,8.901230352,0,1,0,0,2,0
山西通报矿工死亡瞒报事件调查处置情况,65.6,49,2.07,0.042,1.945910149,6.042632834,5.717027701,5.204006687,9.039552051,0,1,0,0,2,0
北京暴雨,89.0,147,7.7,0.33,5.214935758,7.460490306,6.102558595,8.706490362,10.25797511,0,0,1,0,3,0
添可五周年，以钟汉良演唱会为媒感恩用户一路相伴,29.5,2,0.06,0.001,1.098612289,3.988984047,5.129898715,1.098612289,4.234106505,0,0,1,0,3,0
宋祖儿调侃台风引争议,61.3,3,0.0,0.016,1.609437912,5.010635294,5.484796933,2.944438979,9.01079127,0,0,0,1,4,0
2023年6号台风“卡努”形成,85.1,118,5.04,0.12,4.553876892,6.513230111,6.09356977,8.360539381,9.207937487,0,1,0,0,2,0
上海一咖啡厅命名Doi被指低俗营销,60.5,22,0.65,0.011,1.386294361,5.062595033,5.863631176,4.343805422,8.209308412,0,0,1,0,3,0
河南回应近百亿灾后重建资金出问题,63.3,23,0.59,0.02,1.791759469,5.093750201,5.746203191,4.276666119,9.140883107,0,1,0,0,2,0
住建部：进一步落实好降低首套住房首付比例、「认房不认贷」,74.6,94,3.32,0.035,3.258096538,5.823045895,5.883322388,6.616065185,8.760923376,0,0,1,0,3,0
2023年河北暴雨,89.4,144,7.7,0.37,5.283203729,7.292337176,6.204557763,8.618846845,10.22864603,0,0,1,0,3,0
招商银行因电话骚扰被索赔110万元,50.6,4,0.12,0.001,0.693147181,2.079441542,5.129898715,3.135494216,7.665284718,0,0,1,0,3,0
瑞幸咖啡“三分之二冰块”,55.2,8,0.29,0.004,1.098612289,3.401197382,4.976733742,2.944438979,7.454141078,0,0,1,0,3,0
东方甄选自营产品店铺被停业三天,67.7,44,1.44,0.029,2.48490665,6.368187186,5.805134969,5.303304908,8.236950048,0,1,0,0,2,0
张家界天门山一游客坠亡,58.1,6,0.18,0.015,0.693147181,4.905274778,5.991464547,3.258096538,8.525359754,0,0,1,0,3,0
大众汽车入股小鹏汽车,73.6,60,3.02,0.076,3.135494216,6.226536669,5.991464547,5.96100534,8.718827059,0,1,0,0,2,0
腾讯回应新增房地产业务,62.2,24,1.3,0.021,1.609437912,5.379897354,5.991464547,4.060443011,8.024207486,0,0,1,0,3,0
韩国称造出全球首个室温超导材料,78.6,85,3.38,0.07,3.891820298,6.317164687,5.991464547,6.853299093,9.53358262,0,0,1,0,3,0
上海市消保委点名妙鸭相机,59.2,25,0.88,0.012,1.609437912,4.418840608,5.129898715,4.189654742,7.312553498,0,1,0,0,2,0
网易有道发布教育大模型“子曰”,61.5,24,1.39,0.006,0.693147181,3.80666249,7.305860033,3.663561646,8.143807977,0,0,1,0,3,0
39岁硕士称应聘银行岗位因年龄被卡,47.9,3,0.06,0.002,0.693147181,2.302585093,5.129898715,1.386294361,7.218176838,0,1,0,0,2,0
交通银行高管纵容其子虐猫,60.9,1,0.0,0.009,1.791759469,4.787491743,5.484796933,1.945910149,8.542470999,0,1,0,0,2,0
吴亦凡强奸聚众淫乱案二审开庭,71.3,62,2.13,0.15,2.890371758,7.258412151,6.025865974,5.613128106,9.154827662,1,0,0,0,1,0
王毅任外交部部长免去秦刚兼任,67.2,67,1.78,0.051,1.791759469,6.520621128,6.049733455,5.433722004,9.253495642,1,0,0,0,1,0
国产榴莲迎来首次上市,66.9,56,1.48,0.05,1.791759469,5.497168225,6.049733455,5.38907173,8.659733878,1,0,0,0,1,0
男子在四姑娘山旅游时遇难,56.2,7,0.06,0.012,1.386294361,4.624972813,4.976733742,2.833213344,8.577158773,0,0,1,0,3,0
冯提莫自曝曾甲状腺癌晚期,63.5,21,0.42,0.025,1.791759469,5.645446898,5.929589143,4.532599493,9.232493177,0,0,0,1,4,0
电视剧《长相思》播出,86.9,17,0.47,0.21,5.908082938,9.03085479,6.601230119,5.837730447,9.93299781,0,0,0,1,4,0
穿越火线电竞选手叮当猫去世,52.1,9,0.13,0.011,1.098612289,4.219507705,5.384495063,3.33220451,8.528726427,0,0,0,1,4,0
日本作家森村诚一去世,60.0,42,1.44,0.012,1.386294361,4.317488114,5.393627546,4.615120517,8.944550246,1,0,0,0,1,0
OpenAl联合创始人推出世界币,42.6,5,0.19,0.004,1.098612289,3.401197382,5.398162702,2.772588722,7.240649694,0,0,1,0,3,0
比亚迪起诉汽车博主索赔500万,61.0,24,0.75,0.02,1.945910149,5.036952602,5.407171771,4.110873864,8.809564253,0,1,0,0,2,0
研学团违规预约139人进北大收费150万,63.0,43,1.13,0.021,1.945910149,4.521788577,5.129898715,4.86753445,8.846496939,0,1,0,0,2,0
TFBOYS演唱会门票被炒至200万,62.8,16,0.5,0.016,2.079441542,4.248495242,5.129898715,4.394449155,8.942983666,0,1,0,0,2,0
电视剧《莲花楼》开播,82.7,21,0.71,0.083,5.726847748,8.603187385,6.633318433,5.579729826,9.594786113,0,1,0,0,2,0
法国选手马尔尚400米混合泳成绩超越菲尔普斯,42.8,16,0.5,0.008,0.693147181,3.761200116,5.493061443,3.610917913,8.036249942,0,1,0,0,2,0
推特标志将被改为X,63.2,8,0.38,0.029,2.302585093,5.533389489,5.525452939,3.828641396,8.980801414,0,0,1,0,3,0
肯德基回应男子吃出生牛蛙,41.5,7,0.06,0.005,0.693147181,3.555348061,5.556828062,3.091042453,8.342125263,0,0,0,1,4,0
江苏扬州一女孩穿cos服坐公交遭大爷辱骂,60.7,8,0.16,0.011,1.386294361,3.80666249,5.129898715,3.33220451,8.469262658,0,1,0,0,2,0
顺丰回应被指寄丢38万劳力士,59.6,23,0.63,0.026,1.945910149,5.627621114,5.379897354,4.127134385,8.74544368,0,1,0,0,2,0
杭州富阳暴雨引发洪水致5死2失联,61.3,15,0.56,0.046,1.386294361,4.9698133,5.602118821,4.234106505,8.537387899,0,0,1,0,3,0
市场监管总局发布新规禁用“生鲜灯”,63.2,56,2.2,0.009,1.609437912,3.526360525,5.645446898,5.081404365,8.349720837,0,1,0,0,2,0
电影《芭比》热映,77.1,46,1.19,0.11,4.727387819,6.042632834,5.726847748,5.828945618,9.423837546,0,0,1,0,3,0
《中餐厅》第七季开播,63.7,1,0.11,0.012,0.693147181,3.433987204,6.892641641,3.80666249,9.657139344,0,0,0,1,4,0
孙杨张豆豆官宣结婚,67.4,31,0.31,0.12,2.079441542,6.390240667,5.771441123,5.288267031,9.131729971,1,0,0,0,1,0
李彦宏辞任携程集团董事,61.7,43,1.25,0.032,1.609437912,4.890349128,5.777652323,4.663439094,7.684324068,0,1,0,0,2,0
"中建八局被实名举报""高铁偷工减料""",66.9,22,0.88,0.071,2.302585093,5.533389489,5.713732806,5.030437921,8.98168164,1,0,0,0,1,0
印度遭遇“西红柿危机”,50.0,9,0.63,0.004,0.693147181,3.583518938,5.802118375,3.295836866,7.983440063,0,0,0,1,4,0
司马南再度发文提民营企业,57.0,0,0.0,0.006,1.386294361,2.772588722,5.802118375,1.098612289,8.303752416,0,0,0,1,4,0
经济型酒店房价大涨,69.5,60,2.31,0.017,2.079441542,5.159055299,6.453624999,5.683579767,8.817445921,0,0,1,0,3,0
新东方10亿成立文旅公司,61.1,26,0.32,0.015,2.197224577,4.317488114,5.117993812,4.094344562,7.975564658,0,1,0,0,2,0
甘肃一景区千余骆驼集体罢工,68.0,51,1.58,0.085,2.833213344,5.560681631,5.18178355,5.717027701,8.898775359,0,1,0,0,2,0
台风引起各地暴雨,75.3,64,2.65,0.24,4.043051268,5.883322388,5.18178355,6.598509029,9.001222992,0,0,1,0,3,0
刀郎新歌《罗刹海市》引热议,74.8,50,1.12,0.028,3.218875825,6.100318952,6.723832441,6.165417854,9.737728084,0,1,0,0,2,0
春秋航空一空乘辱骂乘客,62.4,25,0.7,0.041,1.791759469,4.941642423,4.795790546,4.553876892,8.965079015,0,1,0,0,2,0
西安中考“回流生”事件,74.0,76,2.96,0.21,3.80666249,6.163314804,5.241747015,6.620073207,9.142703723,0,1,0,0,2,0
上海要求手机点餐餐厅配备纸质菜单,58.5,38,1.07,0.017,1.386294361,4.48863637,5.257495372,4.477336814,8.024534872,0,0,1,0,3,0
2023中国网络文明大会,69.5,78,4.41,0.071,3.091042453,4.990432587,5.308267697,6.363028104,8.858937222,0,0,1,0,3,0
南航回应机票近4万元只有1瓶水,59.5,10,0.25,0.019,1.386294361,4.510859507,5.308267697,3.610917913,8.645762292,0,0,0,1,4,0
广西桂林阳朔遇龙河景区筏工殴打游客,62.1,31,0.64,0.038,1.098612289,4.634728988,5.579729826,4.382026635,8.829665433,0,0,1,0,3,0
江苏省盐城市建湖县发生煤气罐爆炸事故,63.9,43,1.51,0.059,1.791759469,6.070737728,5.393627546,5.153291594,8.731013415,0,0,1,0,3,0
腾讯客服回应微信号回收,66.5,50,1.26,0.07,2.63905733,5.929589143,5.420534999,5.313205979,8.659213451,0,0,1,0,3,0
俄罗斯克里米亚大桥再遭袭击,71.8,91,2.27,0.11,2.944438979,5.493061443,5.420534999,6.463029457,9.290813756,0,1,0,0,2,0
广州通报食堂饭菜异物是鸭子眼球巩膜,70.8,74,2.52,0.12,2.833213344,6.033086222,5.420534999,6.137727054,9.029417836,0,1,0,0,2,0
7月20日起大陆配偶亲属可经“小三通”赴台探亲,54.3,23,0.69,0.014,1.098612289,4.382026635,5.420534999,3.526360525,8.235890726,0,0,1,0,3,0
黄山景区回应不提供开水冲泡面,62.9,51,1.58,0.044,1.791759469,5.049856007,5.420534999,5.049856007,9.030376035,1,0,0,0,1,0
生成AI写真小程序妙鸭相机走红,69.7,72,2.54,0.021,1.791759469,4.727387819,6.779921907,5.814130532,8.571870753,0,1,0,0,2,0
男子1次存1元占窗口2小时,57.3,5,0.17,0.014,0.693147181,3.80666249,5.484796933,2.772588722,8.374015422,0,1,0,0,2,0
台风泰利预计登陆广东海南,82.6,119,5.67,0.54,4.672828834,6.742880636,5.521460918,8.074960359,9.117566972,0,0,1,0,3,0
腾讯回应传言微信将推出“公务员专供版”,65.9,51,1.45,0.045,2.302585093,5.733341277,5.521460918,5.288267031,8.424200325,1,0,0,0,1,0
郑州市教育局回应“学托”与“斥责记者”事件,61.4,33,0.76,0.033,1.609437912,5.123963979,5.521460918,4.564348191,8.736168066,1,0,0,0,1,0
江西庐山老人坐景区台阶被泼水驱赶,56.6,6,0.18,0.016,0.693147181,3.044522438,5.579729826,3.688879454,7.444833274,0,1,0,0,2,0
银行副行长因旷工补贴家用被开除,56.0,10,0.23,0.016,0.693147181,3.496507561,5.484796933,3.218875825,8.01466637,0,1,0,0,2,0
河南永城市两名女子吃凉皮后中毒,63.8,16,0.45,0.069,2.708050201,4.553876892,3.891820298,4.369447852,8.893298144,0,0,1,0,3,0
“69平公寓公摊37平”引争议,66.4,30,0.82,0.092,2.079441542,5.505331536,5.774551546,5.062595033,9.261223582,0,0,1,0,3,0
七部门联合发布《生成式人工智能服务管理暂行办法》,68.8,83,4.15,0.099,3.496507561,6.311734809,5.129898715,5.505331536,9.231710398,0,1,0,0,2,0
淘宝推出夏日清凉版,59.8,5,0.06,0.025,1.386294361,4.369447852,5.799092654,4.369447852,9.365547636,0,0,1,0,3,0
电视剧《安乐传》热播,82.0,16,0.36,0.24,4.844187086,7.113142109,6.895682698,6.295266001,9.877092241,0,0,0,1,4,0
作家米兰·昆德拉去世,68.6,53,1.64,0.21,2.48490665,6.927557906,5.846438775,5.624017506,9.364605331,0,1,0,0,2,0
中国光大集团股份公司原党委书记、董事长唐双宁被查,64.7,59,2.27,0.19,2.079441542,6.169610732,5.262690189,5.176149733,9.005282288,0,1,0,0,2,0
游客爬华山云梯不慎跌落,65.2,42,0.82,0.063,2.197224577,4.744932128,5.262690189,5.111987788,9.081711229,0,0,1,0,3,0
宝格丽就“把台湾列为国家”致歉,71.6,52,1.83,0.18,3.36729583,6.967909202,5.913503006,5.631211782,9.367429587,1,0,0,0,1,0
优衣库门店回应大学生发文吐槽,60.8,17,0.32,0.039,1.386294361,5.170483995,5.913503006,4.143134726,8.367067733,0,1,0,0,2,0
英特尔在中国市场推出Gaudi2芯片,60.8,22,0.5,0.013,1.098612289,3.496507561,5.913503006,4.043051268,8.679482094,0,0,0,1,4,0
韩国幽灵儿童事件,65.8,49,1.32,0.05,1.945910149,5.33753808,5.913503006,5.288267031,9.091218941,1,0,0,0,1,0
陕西华山游客在游玩时失联,65.3,33,0.53,0.027,1.386294361,4.290459441,5.82008293,5.198497031,8.408047744,0,0,1,0,3,0
Prada成为中国国家女子足球队官方合作伙伴,60.1,10,0.19,0.071,1.386294361,5.556828062,5.945420609,3.784189634,8.964823392,0,0,1,0,3,0
富士康宣布退出印度半导体计划,66.7,42,1.32,0.056,1.945910149,4.33073334,5.976350909,5.141663557,9.021719013,0,0,1,0,3,0
无锡3岁女童疑被猥亵,68.7,24,0.32,0.1,2.63905733,5.863631176,5.976350909,5.087596335,9.079662048,0,1,0,0,2,0
贵州西江千户苗寨景区发生火灾致2死6伤,67.2,40,1.13,0.12,2.564949357,5.488937726,5.484796933,5.153291594,9.259035294,0,1,0,0,2,0
国航航班遇严重颠簸致两人受伤,71.1,71,1.96,0.17,2.397895273,6.276643489,5.484796933,5.863631176,9.024131268,0,0,1,0,3,0
女子跟团游车上睡觉被叫停,66.8,56,1.51,0.061,2.564949357,5.347107531,4.976733742,5.65248918,8.404248432,0,1,0,0,2,0
吉林白城村民私搭浮桥被判刑,74.7,67,1.13,0.25,3.33220451,6.214608098,6.091309882,6.440946541,9.448490755,0,0,1,0,3,0
蚂蚁集团被罚款71.23亿元,71.8,78,2.27,0.25,2.944438979,7.501082124,6.144185634,5.991464547,9.113388846,0,1,0,0,2,0
财付通被罚没近30亿元,66.6,47,1.07,0.1,1.945910149,6.269096284,6.144185634,5.049856007,8.9692874,1,0,0,0,1,0
旅韩大熊猫爱宝诞下双胞胎,73.4,67,2.02,0.25,2.944438979,7.163946684,6.144185634,5.924255797,9.477539085,0,0,1,0,3,0
中国海关禁止进口日本福岛等10地食品,73.2,130,4.51,0.11,3.465735903,6.045005314,5.262690189,6.553933404,9.376955899,0,1,0,0,2,0
比亚迪等16家企业联合签署《汽车行业维护公平市场秩序承诺书》,63.6,15,1.13,0.034,1.609437912,5.087596335,6.173786104,4.143134726,8.825412915,0,1,0,0,2,0
光刻机巨头ASML：没有向中国市场推出特别版光刻机,42.0,9,0.13,0.008,1.386294361,4.49980967,4.574710979,2.995732274,7.550135342,0,0,1,0,3,0
华为发布盘古大模型3.0,75.3,85,4.1,0.06,3.33220451,6.257667588,6.194405391,6.486160789,9.473089178,0,0,1,0,3,0
闲鱼回应有人以2800元卖孩子,57.5,16,0.32,0.017,1.386294361,4.304065093,5.278114659,3.828641396,8.40469616,0,1,0,0,2,0
泡泡玛特回应被强制执行1710万元,47.0,9,0.06,0.029,1.098612289,4.248495242,5.288267031,2.944438979,6.624065228,0,1,0,0,2,0
歌手李玟因抑郁症离世,82.5,79,1.83,0.49,5.313205979,8.887928819,5.455321115,7.21964204,10.58666015,0,0,0,1,4,0
周杰伦开演唱会为海口增近10亿旅游收入,58.1,7,0.25,0.011,1.609437912,3.33220451,5.33753808,3.555348061,8.539541595,0,0,1,0,3,0
电视剧《我的人间烟火》热播,85.4,41,0.88,0.21,5.676753802,7.145196135,6.242223265,6.390240667,10.02073711,1,0,0,0,1,0
安徽合肥一安置房疑现“楼体歪斜”,39.4,10,0.38,0.005,0.693147181,3.135494216,5.129898715,3.36729583,7.902857191,0,1,0,0,2,0
北京中轴线申遗,76.0,49,3.13,0.065,2.564949357,6.577861358,7.239214974,6.025865974,9.356689268,1,0,0,0,1,0
雪碧玩梗82年雪碧,59.0,3,0.06,0.004,0.693147181,2.890371758,5.888877958,2.197224577,9.441610811,0,0,0,1,4,0
太原一男子商场杀害女子后自杀,51.3,16,0.44,0.013,0.693147181,4.343805422,5.361292166,3.713572067,7.77569575,0,1,0,0,2,0
大麦擅自出售演出门票被罚,62.1,24,0.95,0.06,1.791759469,5.493061443,5.446737372,4.369447852,8.674709629,0,1,0,0,2,0
2023全球数字经济大会,73.0,93,7.38,0.044,2.708050201,5.081404365,6.28785856,6.450470422,8.863049828,0,1,0,0,2,0
12306回应盒饭双层价签,63.4,20,0.5,0.031,1.791759469,4.779123493,5.521460918,4.454347296,8.709465079,0,1,0,0,2,0
重庆万州洪涝灾害致15死4失踪,75.1,80,3.66,0.12,3.36729583,6.352629396,5.620400866,6.599870499,9.019664011,0,0,0,1,4,0
男子不满被问取款用途1次取1元,63.9,24,0.63,0.078,2.197224577,6.161207322,5.545177444,4.890349128,8.676416697,0,0,1,0,3,0
电视剧《玉骨遥》开播,87.9,27,0.69,0.48,7.218909708,8.722417141,6.37331979,5.030437921,9.443038136,0,0,0,1,4,0
中国女篮亚洲杯夺冠,74.4,120,3.09,0.3,3.433987204,7.642044403,5.723585102,6.698268054,9.70369425,0,1,0,0,2,0
北京一地接导游中暑死亡,63.3,30,0.82,0.031,2.197224577,4.574710979,4.976733742,4.820281566,8.457018468,1,0,0,0,1,0
赵鹏任中国人保党委副书记,51.6,15,0.76,0.021,0.693147181,4.248495242,5.758901774,3.526360525,6.436150368,0,1,0,0,2,0
江西一化工厂爆炸,66.7,39,0.95,0.17,2.197224577,6.50578406,5.683579767,5.192956851,9.244355251,1,0,0,0,1,0
人大回应网传学生个人信息被泄露,70.0,62,2.33,0.13,2.48490665,6.863803391,5.799092654,5.786897381,8.880029117,0,0,0,1,4,0
北京政法职业学院李敬言被退学,65.7,6,0.06,0.06,2.944438979,6.315358002,5.799092654,3.871201011,9.178540059,0,0,0,1,4,0
第十四届夏季达沃斯论坛开幕,78.2,107,7.21,0.21,3.663561646,6.040254711,5.777652323,7.796057974,8.984192312,0,1,0,0,2,0
微信回应文件传输助手是真人,73.0,91,3.22,0.11,3.135494216,6.251903883,5.777652323,6.267200549,9.133783249,0,1,0,0,2,0
汶川突发山洪泥石流灾害,72.2,69,2.53,0.15,2.63905733,6.601230119,5.777652323,6.507277712,9.009202901,1,0,0,0,1,0
胖东来8页报告调查顾客与员工争执,59.6,11,0.25,0.043,1.791759469,5.153291594,5.525452939,3.555348061,8.468002947,0,0,0,1,4,0
携程推出生育补贴,64.8,45,1.64,0.1,2.197224577,5.860786223,5.525452939,4.844187086,8.862766742,0,1,0,0,2,0
荷兰宣布实施半导体出口管制,63.8,59,2.09,0.035,1.945910149,4.779123493,5.525452939,4.820281566,9.064273596,0,1,0,0,2,0
山西13岁男孩被三名未成年逼吃粪便,69.3,43,1.07,0.05,3.091042453,5.746203191,5.525452939,5.700443573,9.11316846,0,1,0,0,2,0
腾讯回应微信支付被多所高校停用,72.5,90,2.97,0.21,3.583518938,7.185387016,5.587248658,5.945420609,9.270211769,0,0,1,0,3,0
山姆泡面桶被炒至1999元,64.3,39,1.33,0.021,2.079441542,4.709530201,5.616771098,4.844187086,8.875985891,0,1,0,0,2,0
周杰伦海口演唱会,73.1,38,0.63,0.064,3.828641396,5.703782475,5.579729826,5.860786223,9.706803345,1,0,0,0,1,0
菜鸟推出自营快递“菜鸟速递”,68.0,72,3.29,0.071,2.772588722,5.552959585,5.669880923,5.59471138,8.681859813,0,1,0,0,2,0
卖菜大爷挣21元被罚11万,64.0,18,0.44,0.072,2.079441542,5.717027701,5.673323267,4.454347296,9.119868469,0,0,1,0,3,0
法国警察射杀17岁少年引起骚乱,79.2,136,3.79,0.3,3.988984047,5.950642553,5.700443573,7.571988449,9.624897357,0,1,0,0,2,0
阿斯巴甜致癌风波,71.8,80,2.59,0.12,2.944438979,5.963579344,5.700443573,6.242223265,9.230535079,0,0,1,0,3,0
和平精英X麦当劳联名产品上新,30.6,0,0.0,0.002,0.693147181,3.526360525,5.700443573,1.098612289,7.992606652,0,0,1,0,3,0
萧敬腾成功求婚林有慧,70.5,19,0.32,0.11,3.135494216,6.428105273,5.713732806,5.204006687,9.375346207,0,1,0,0,2,0
陈建州被指控性骚扰,74.1,11,0.13,0.085,3.401197382,6.71417053,5.746203191,5.560681631,9.175645402,1,0,0,0,1,0
苹果iCloud+在全球多地宣布涨价,38.3,4,0.0,0.008,0.693147181,2.890371758,5.746203191,2.772588722,7.974876901,0,0,0,1,4,0
市监局通报医院食堂盒饭吃出老鼠头,68.0,47,0.95,0.069,2.302585093,6.308098442,5.755742214,5.416100402,9.122601458,0,1,0,0,2,0
曝蔡徐坤一夜情致女方怀孕堕胎,77.4,22,0.19,0.22,4.624972813,8.40178234,5.84932478,5.96870756,9.634561809,1,0,0,0,1,0
赫莲娜特斯拉联名官宣,58.3,2,0.06,0.014,1.945910149,5.147494477,5.84932478,2.833213344,8.899457906,0,0,1,0,3,0
B站将用播放分钟数替代播放次数,61.9,34,1.45,0.019,1.945910149,4.615120517,5.84932478,4.394449155,8.773229786,0,1,0,0,2,0
小米汽车内部信息疑遭小爱同学曝光,49.4,2,0.0,0.007,1.386294361,4.158883083,4.976733742,2.772588722,7.902117546,0,1,0,0,2,0
